Rodada;Data;Horário;Time da casa;Time da casa.1;Time visitante;Time visitante.1;Sistema de jogo;Treinadores;Público;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
1;dom 20/04/14;16:00;;São Paulo (2.);;Botafogo (19.);4-4-2 duplo 6;Muricy Ramalho;31.564;3:0;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
2ª eliminatória - jogos de ida;qua 23/04/14;21:00;;CRB;;São Paulo;?;Muricy Ramalho;17.009;2:1;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
2;dom 27/04/14;16:00;;Cruzeiro (3.);;São Paulo (1.);4-4-2 duplo 6;Muricy Ramalho;17.530;1:1;;;Carlos Miguel Aidar (2014-2015)
3;sáb 03/05/14;18:30;;São Paulo (2.);;Coritiba (13.);4-3-3 defensivo;Muricy Ramalho;31.888;2:2;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
2ª eliminatória - jogos de volta;qua 07/05/14;21:00;;São Paulo;;CRB;?;Muricy Ramalho;20.853;3:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
4;dom 11/05/14;16:00;;São Paulo (7.);;Corinthians (1.);4-3-3 defensivo;Muricy Ramalho;14.000;1:1;;;Carlos Miguel Aidar (2014-2015)
5;dom 18/05/14;16:00;;Flamengo (16.);;São Paulo (10.);4-3-3 defensivo;Muricy Ramalho;25.118;0:2;;;Carlos Miguel Aidar (2014-2015)
6;qua 21/05/14;22:00;;Fluminense (6.);;São Paulo (8.);4-3-3 defensivo;Muricy Ramalho;17.035;5:2;;;Carlos Miguel Aidar (2014-2015)
7;sáb 24/05/14;21:00;;São Paulo (9.);;Grêmio (2.);4-3-3 defensivo;Muricy Ramalho;14.971;1:0;;;Carlos Miguel Aidar (2014-2015)
8;ter 27/05/14;22:00;;Atlético-PR (11.);;São Paulo (7.);4-3-3 defensivo;Muricy Ramalho;2.817;2:2;;;Carlos Miguel Aidar (2014-2015)
9;sáb 31/05/14;18:30;;São Paulo (8.);;Atlético-MG (6.);4-3-3 defensivo;Muricy Ramalho;27.530;2:1;;;Carlos Miguel Aidar (2014-2015)
10;qua 16/07/14;22:00;;Bahia (16.);;São Paulo (3.);4-3-3 defensivo;Muricy Ramalho;17.482;0:2;;;Carlos Miguel Aidar (2014-2015)
11;sáb 19/07/14;18:30;;São Paulo (2.);;Chapecoense (15.);4-3-3 defensivo;Muricy Ramalho;42.979;0:1;;;Carlos Miguel Aidar (2014-2015)
12;dom 27/07/14;16:00;;Goiás (10.);;São Paulo (6.);4-4-2 duplo 6;Muricy Ramalho;12.845;2:1;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
3ª eliminatória - jogos de ida;qua 30/07/14;21:00;;Bragantino;;São Paulo;?;Muricy Ramalho;11.054;1:2;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
13;sáb 02/08/14;18:30;;São Paulo (8.);;Criciúma (13.);4-3-1-2;Muricy Ramalho;46.512;1:1;;;Carlos Miguel Aidar (2014-2015)
14;dom 10/08/14;18:30;;São Paulo (7.);;Vitória (16.);4-4-2 duplo 6;Muricy Ramalho;29.115;3:1;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
3ª eliminatória - jogos de volta;qua 13/08/14;21:00;;São Paulo;;Bragantino;?;Muricy Ramalho;7.508;1:3;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
15;dom 17/08/14;16:00;;Palmeiras (15.);;São Paulo (5.);4-4-2 duplo 6;Muricy Ramalho;20.267;1:2;;;Carlos Miguel Aidar (2014-2015)
16;qua 20/08/14;22:00;;Internacional (2.);;São Paulo (5.);4-4-2 duplo 6;Muricy Ramalho;29.267;0:1;;;Carlos Miguel Aidar (2014-2015)
17;dom 24/08/14;16:00;;São Paulo (4.);;Santos (7.);4-4-2 duplo 6;Muricy Ramalho;31.159;2:1;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
2ª eliminatória - jogos de ida;qui 28/08/14;20:00;;Criciúma;;São Paulo;4-4-2;Muricy Ramalho;;2:1;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
18;dom 31/08/14;16:00;;Figueirense (13.);;São Paulo (2.);4-3-3 defensivo;Muricy Ramalho;15.803;1:1;;;Carlos Miguel Aidar (2014-2015)
