Rodada;Data;Horário;Time da casa;Time da casa.1;Time visitante;Time visitante.1;Sistema de jogo;Treinadores;Público;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
28;qua 06/01/21;20:30;;Bragantino (13.);;São Paulo (1.);4-4-2;Fernando Diniz;x;4:2;;;Julio Casares (2021-Presente)
29;dom 10/01/21;15:00;;São Paulo (1.);;Santos (8.);4-4-2 duplo 6;Fernando Diniz;x;0:1;;;Julio Casares (2021-Presente)
30;dom 17/01/21;16:00;;Athletico-PR (11.);;São Paulo (1.);4-2-3-1;Fernando Diniz;x;1:1;;;Julio Casares (2021-Presente)
31;qua 20/01/21;21:30;;São Paulo (1.);;Internacional (3.);4-4-2 duplo 6;Fernando Diniz;x;1:5;;;Julio Casares (2021-Presente)
32;sáb 23/01/21;19:00;;São Paulo (4.);;Coritiba (18.);4-4-2 duplo 6;Fernando Diniz;x;1:1;;;Julio Casares (2021-Presente)
33;dom 31/01/21;16:00;;Atlético-GO (13.);;São Paulo (3.);4-4-2;Fernando Diniz;x;2:1;;;Julio Casares (2021-Presente)
35;qua 10/02/21;20:00;;São Paulo (4.);;Ceará (12.);4-4-2 duplo 6;Vizolli;x;1:1;;;Julio Casares (2021-Presente)
36;dom 14/02/21;20:30;;Grêmio (6.);;São Paulo (4.);4-4-2;Vizolli;x;1:2;;;Julio Casares (2021-Presente)
34;sex 19/02/21;21:30;;São Paulo (4.);;Palmeiras (6.);4-4-2 duplo 6;Vizolli;x;1:1;;;Julio Casares (2021-Presente)
37;seg 22/02/21;20:00;;Botafogo (20.);;São Paulo (3.);4-4-2 duplo 6;Vizolli;x;1:0;;;Julio Casares (2021-Presente)
38;qui 25/02/21;19:30;;São Paulo (4.);;Flamengo (1.);3-4-1-2;Vizolli;x;2:1;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
1;dom 28/02/21;20:30;;São Paulo;;Botafogo-SP;4-2-3-1;Hernán Crespo;x;1:1;;;Julio Casares (2021-Presente)
2;qua 03/03/21;17:00;;Inter Limeira;;São Paulo;3-5-2 plano;Hernán Crespo;;0:4;;;Julio Casares (2021-Presente)
3;sáb 06/03/21;19:00;;São Paulo;;Santos;3-5-2;Hernán Crespo;x;4:0;;;Julio Casares (2021-Presente)
4;sáb 13/03/21;16:30;;Novorizontino;;São Paulo;3-5-2 plano;Hernán Crespo;x;2:1;;;Julio Casares (2021-Presente)
11;sáb 10/04/21;19:00;;São Paulo;;São Caetano;4-2-3-1;Hernán Crespo;x;5:1;;;Julio Casares (2021-Presente)
7;seg 12/04/21;19:00;;São Paulo;;Bragantino;3-5-2 plano;Hernán Crespo;x;1:0;;;Julio Casares (2021-Presente)
9;qua 14/04/21;21:30;;São Paulo;;Guarani;4-2-3-1;Hernán Crespo;x;3:2;;;Julio Casares (2021-Presente)
5;sex 16/04/21;22:00;;Palmeiras;;São Paulo;3-4-1-2;Hernán Crespo;x;0:1;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
Grupo E;ter 20/04/21;21:30;;Sport. Cristal;;São Paulo;3-4-1-2;Hernán Crespo;x;0:3;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
6;sex 23/04/21;20:00;;São Paulo;;Santo André;3-4-1-2;Hernán Crespo;x;2:0;;;Julio Casares (2021-Presente)
8;dom 25/04/21;22:15;;Ituano;;São Paulo;3-4-1-2;Hernán Crespo;x;0:3;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
Grupo E;qui 29/04/21;21:00;;São Paulo;;Rentistas;3-4-1-2;Hernán Crespo;x;2:0;;;Julio Casares (2021-Presente)
