Rodada;Data;Horário;Time da casa;Time da casa.1;Time visitante;Time visitante.1;Sistema de jogo;Treinadores;Público;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
3;qua 18/01/06;desconhecido;;Santo André;;São Paulo;;;;1:0;;;Juvenal Juvêncio (2006-2014)
1;qua 25/01/06;desconhecido;;São Paulo;;Juventus-SP;?;Muricy Ramalho;;0:1;;;Juvenal Juvêncio (2006-2014)
2;qua 15/02/06;desconhecido;;Bragantino;;São Paulo;?;Muricy Ramalho;6.375;3:3;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Grupo 1;ter 28/02/06;20:00;;Caracas FC;;São Paulo;4-4-2 duplo 6;Muricy Ramalho;2.450;1:2;;;Juvenal Juvêncio (2006-2014)
Grupo 1;ter 07/03/06;20:00;;São Paulo;;Cienciano;?;Muricy Ramalho;29.419;4:1;;;Juvenal Juvêncio (2006-2014)
Grupo 1;seg 20/03/06;20:00;;Chivas;;São Paulo;?;Muricy Ramalho;21.512;2:1;;;Juvenal Juvêncio (2006-2014)
Grupo 1;ter 04/04/06;19:00;;São Paulo;;Chivas;?;Muricy Ramalho;44.648;1:2;;;Juvenal Juvêncio (2006-2014)
Grupo 1;ter 11/04/06;19:00;;Cienciano;;São Paulo;?;Muricy Ramalho;15.000;0:2;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
1;dom 16/04/06;14:00;;São Paulo (1.);;Flamengo (11.);3-5-2;Muricy Ramalho;12.826;1:0;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Grupo 1;qua 19/04/06;19:00;;São Paulo;;Caracas FC;3-5-2;Muricy Ramalho;21.854;2:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
2;dom 23/04/06;16:10;;Fortaleza (18.);;São Paulo (6.);?;Muricy Ramalho;;1:0;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Oitavas de final - Jogos de ida;ter 25/04/06;19:00;;Palmeiras;;São Paulo;?;Muricy Ramalho;26.000;1:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
3;sáb 29/04/06;16:10;;São Paulo (12.);;Santa Cruz (18.);3-5-2;Muricy Ramalho;;4:0;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Oitavas de final - Jogos de volta;ter 02/05/06;19:00;;São Paulo;;Palmeiras;?;Muricy Ramalho;60.080;2:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
4;dom 07/05/06;14:00;;Corinthians (14.);;São Paulo (4.);?;Muricy Ramalho;20.857;1:3;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
Quartas de final - Jogos de ida;ter 09/05/06;19:00;;Estudiantes LP;;São Paulo;?;Muricy Ramalho;29.677;1:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
5;dom 14/05/06;14:00;;Internacional (3.);;São Paulo (4.);4-4-2 duplo 6;Muricy Ramalho;;3:1;;;Juvenal Juvêncio (2006-2014)
6;sáb 20/05/06;16:10;;São Paulo (5.);;São Caetano (15.);?;Muricy Ramalho;;1:0;;;Juvenal Juvêncio (2006-2014)
7;qua 24/05/06;18:30;;São Paulo (5.);;Palmeiras (19.);3-5-2;Muricy Ramalho;;4:1;;;Juvenal Juvêncio (2006-2014)
8;dom 28/05/06;16:10;;Vasco da Gama (16.);;São Paulo (4.);?;Muricy Ramalho;;1:1;;;Juvenal Juvêncio (2006-2014)
9;ter 30/05/06;19:45;;São Paulo (5.);;Fluminense (1.);?;Muricy Ramalho;10.186;1:0;;;Juvenal Juvêncio (2006-2014)
10;dom 04/06/06;16:10;;Juventude (9.);;São Paulo (1.);?;Muricy Ramalho;;1:1;;;Juvenal Juvêncio (2006-2014)
11;qua 12/07/06;18:30;;São Paulo (3.);;Grêmio (9.);?;Muricy Ramalho;;2:1;;;Juvenal Juvêncio (2006-2014)
12;sáb 15/07/06;16:10;;São Paulo (3.);;Figueirense (7.);?;Muricy Ramalho;;2:1;;;Juvenal Juvêncio (2006-2014)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Juvenal Juvêncio (2006-2014)
quartas de final - Jogos de volta;ter 18/07/06;19:00;;São Paulo;;Estudiantes LP;?;Muricy Ramalho;69.056;5:3 pen.;;;Juvenal Juvêncio (2006-2014)
