Rodada;Data;Horário;Time da casa;Time da casa.1;Time visitante;Time visitante.1;Sistema de jogo;Treinadores;Público;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
30;qua 14/10/15;22:00;;Fluminense (12.);;São Paulo (5.);4-3-3 defensivo;Doriva;8.357;2:0;;;Leco (2015-2020)
31;dom 18/10/15;16:00;;São Paulo (5.);;Vasco da Gama (19.);4-3-3 defensivo;Doriva;18.349;2:2;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
Semifinais - Jogos de ida;qua 21/10/15;22:00;;São Paulo;;Santos;?;Doriva;26.362;1:3;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
32;dom 25/10/15;17:00;;Coritiba (17.);;São Paulo (6.);4-3-3 defensivo;Doriva;15.002;1:2;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
semifinais - Jogos de volta;qua 28/10/15;23:00;;Santos;;São Paulo;?;Doriva;13.932;3:1;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
33;sáb 31/10/15;17:00;;São Paulo (5.);;Sport (7.);4-3-3 defensivo;Doriva;14.002;3:0;;;Leco (2015-2020)
34;dom 08/11/15;17:00;;Cruzeiro (10.);;São Paulo (5.);4-3-3 defensivo;Doriva;33.417;2:1;;;Leco (2015-2020)
35;qui 19/11/15;22:00;;São Paulo (5.);;Atlético-MG (2.);4-2-3-1;Milton Cruz;18.199;4:2;;;Leco (2015-2020)
36;dom 22/11/15;17:00;;Corinthians (1.);;São Paulo (4.);4-3-3 defensivo;Milton Cruz;44.976;6:1;;;Leco (2015-2020)
37;sáb 28/11/15;17:00;;São Paulo (4.);;Figueirense (16.);4-3-3 defensivo;Milton Cruz;20.034;3:2;;;Leco (2015-2020)
38;dom 06/12/15;17:00;;Goiás (19.);;São Paulo (4.);4-2-3-1;Milton Cruz;34.284;0:1;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
1;sáb 30/01/16;21:30;;RB Brasil;;São Paulo;?;Edgardo Bauza;5.606;1:1;;;Leco (2015-2020)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Leco (2015-2020)
Play-Off 1ª mão;qua 03/02/16;21:45;;César Vallejo;;São Paulo;4-2-3-1;Edgardo Bauza;18.000;1:1;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
2;sáb 06/02/16;19:00;;São Paulo;;Água Santa;?;Edgardo Bauza;7.243;4:0;;;Leco (2015-2020)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Leco (2015-2020)
Play-Off 2ª mão;qua 10/02/16;21:45;;São Paulo;;César Vallejo;4-2-3-1;Edgardo Bauza;32.567;1:0;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
4;dom 14/02/16;19:00;;Corinthians;;São Paulo;?;Edgardo Bauza;36.378;2:0;;;Leco (2015-2020)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Leco (2015-2020)
Grupo 1;qua 17/02/16;19:30;;São Paulo;;The Strongest;4-2-3-1;Edgardo Bauza;27.168;0:1;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
5;dom 21/02/16;18:00;;São Paulo;;Rio Claro;?;Edgardo Bauza;7.576;1:0;;;Leco (2015-2020)
6;qua 24/02/16;20:30;;São Paulo;;Novorizontino;?;Edgardo Bauza;3.471;2:0;;;Leco (2015-2020)
7;sáb 27/02/16;20:30;;Ponte Preta;;São Paulo;?;Edgardo Bauza;5.288;1:0;;;Leco (2015-2020)
3;ter 01/03/16;21:30;;São Paulo;;Mogi Mirim;?;Edgardo Bauza;3.013;2:0;;;Leco (2015-2020)
8;sáb 05/03/16;17:00;;São Paulo;;São Bernardo;?;Edgardo Bauza;12.371;1:3;;;Leco (2015-2020)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Leco (2015-2020)
Grupo 1;qui 10/03/16;19:30;;River Plate;;São Paulo;4-2-3-1;Edgardo Bauza;45.000;1:1;;;Leco (2015-2020)
