Jogador;Clube;Clube.1;Quantia paga;Unnamed: 4;CONTEXTO_ORIGEM
Jandrei;;Juventude;Fim do empréstimo;;Entradas 26/27
Patryck;;Juventude;Fim do empréstimo;;Entradas 26/27
0;0.0;0;0;0.0;Entradas 26/27
Danielzinho;;Mirassol;custo zero;;Entradas 25/26
Rafael Tolói;;Atalanta;custo zero;;Entradas 25/26
Maílton;;Metalist;custo zero;;Entradas 25/26
Emiliano Rigoni;;León;custo zero;;Entradas 25/26
Gonzalo Tapia;;River Plate;Empréstimo;;Entradas 25/26
Matheus Belém;;Chapecoense;Fim do empréstimo;;Entradas 25/26
Maik;;São Paulo U20;-;;Entradas 25/26
Giuliano Galoppo;;River Plate;Fim do empréstimo;;Entradas 25/26
Rodrigo Nestor;;Bahia;Fim do empréstimo;;Entradas 25/26
João Moreira;;FC Porto B;Fim do empréstimo;;Entradas 25/26
Iba Ly;;Retrô;Fim do empréstimo;;Entradas 25/26
Erick;;Vitória;Fim do empréstimo;;Entradas 25/26
0;0.0;0;0;0.0;Entradas 25/26
Lucas Ferreira;;Shakhtar;€ 10.00 mi.;;Saídas 25/26
Matheus Alves;;CSKA Moscou;€ 5.10 mi.;;Saídas 25/26
Henrique Carmo;;CSKA Moscou;€ 5.10 mi.;;Saídas 25/26
Rodrigo Nestor;;Bahia;€ 3.80 mi.;;Saídas 25/26
Leandro Mathias;;Botafogo-PB;custo zero;;Saídas 25/26
Juan Dinenno;;Deportivo Cali;custo zero;;Saídas 25/26
Igor Vinícius;;Santos;custo zero;;Saídas 25/26
Liziero;;Nacional;custo zero;;Saídas 25/26
Pedro Vilhena;;Operário-PR;custo zero;;Saídas 25/26
Stevanato;;Thundering Herd;custo zero;;Saídas 25/26
Patryck;;Juventude;Empréstimo;;Saídas 25/26
Jandrei;;Juventude;Empréstimo;;Saídas 25/26
Enzo Díaz;;River Plate;Fim do empréstimo;;Saídas 25/26
Luiz Gustavo;;Sem clube;-;;Saídas 25/26
Emiliano Rigoni;;Sem clube;-;;Saídas 25/26
Brian Carvalho;;Sem clube;-;;Saídas 25/26
€ 24.00 mi.;€ 24.00 mi.;€ 24.00 mi.;€ 24.00 mi.;€ 24.00 mi.;Saídas 25/26
Michel Araújo;;Fluminense;€ 1.60 mi.;;Entradas 24/25
Ruan;;Sassuolo;Valor de empréstimo: € 400 mil;;Entradas 24/25
Santiago Longo;;Belgrano;Valor de empréstimo: € 271 mil;;Entradas 24/25
Marcos Antônio;;Lazio;Valor de empréstimo: € 150 mil;;Entradas 24/25
Oscar;;SH Port;custo zero;;Entradas 24/25
Wendell;;FC Porto;custo zero;;Entradas 24/25
Juan Dinenno;;Cruzeiro;custo zero;;Entradas 24/25
Enzo Díaz;;River Plate;Empréstimo;;Entradas 24/25
Nikão;;Athletico-PR;Fim do empréstimo;;Entradas 24/25
Luan Santos;;Vitória;Fim do empréstimo;;Entradas 24/25
Stevanato;;Hercílio Luz;Fim do empréstimo;;Entradas 24/25
Pedro Vilhena;;Sport;Fim do empréstimo;;Entradas 24/25
Raí Ramos;;Ceará;Fim do empréstimo;;Entradas 24/25
Jamal Lewis;;Newcastle;Empréstimo;;Entradas 24/25
Lucca;;São Paulo U20;-;;Entradas 24/25
Pedro Vilhena;;Ponte Preta;Fim do empréstimo;;Entradas 24/25
Felipe Negrucci;;São Paulo U20;-;;Entradas 24/25
Iba Ly;;Inter Limeira;Fim do empréstimo;;Entradas 24/25
Leandro Mathias;;São Paulo U20;-;;Entradas 24/25
Ryan Francisco;;São Paulo U20;-;;Entradas 24/25
Lucas Ferreira;;São Paulo U20;-;;Entradas 24/25
Matheus Alves;;São Paulo U20;-;;Entradas 24/25
Cédric Soares;;Sem clube;-;;Entradas 24/25
