Tipo;Valor_Original;Ano;Valor_Milhoes
Receitas;€14.98 mi.;2006;1498.0
Despesas;€4.40 mi.;2006;440.0
Balanço total;+€10.58 mi.;2006;1058.0
Receitas;€30.63 mi.;2007;3063.0
Despesas;€2.33 mi.;2007;233.0
Balanço total;+€28.30 mi.;2007;2830.0
Receitas;€660 mil;2008;0.66
Despesas;€1.09 mi.;2008;109.0
Balanço total;€-430 mil;2008;-0.43
Receitas;€11.40 mi.;2009;1140.0
Despesas;€3.46 mi.;2009;346.0
Balanço total;+€7.94 mi.;2009;794.0
Receitas;€19.62 mi.;2010;1962.0
Despesas;€8.90 mi.;2010;890.0
Balanço total;+€10.72 mi.;2010;1072.0
Receitas;€9.91 mi.;2011;991.0
Despesas;€13.80 mi.;2011;1380.0
Balanço total;€-3.89 mi.;2011;-389.0
Receitas;€44.95 mi.;2012;4495.0
Despesas;€12.00 mi.;2012;1200.0
Balanço total;+€32.95 mi.;2012;3295.0
Receitas;€11.50 mi.;2013;1150.0
Despesas;0;2013;0.0
Balanço total;+€11.50 mi.;2013;1150.0
Receitas;€9.80 mi.;2014;980.0
Despesas;€13.15 mi.;2014;1315.0
Balanço total;€-3.35 mi.;2014;-335.0
Receitas;€30.14 mi.;2015;3014.0
Despesas;€3.92 mi.;2015;392.0
Balanço total;+€26.23 mi.;2015;2623.0
Receitas;€39.59 mi.;2016;3959.0
Despesas;€18.27 mi.;2016;1827.0
Balanço total;+€21.33 mi.;2016;2133.0
Receitas;€55.27 mi.;2017;5527.0
Despesas;€17.36 mi.;2017;1736.0
Balanço total;+€37.92 mi.;2017;3792.0
Receitas;€30.00 mi.;2018;3000.0
Despesas;€17.38 mi.;2018;1738.0
Balanço total;+€12.62 mi.;2018;1262.0
Receitas;€9.80 mi.;2019;980.0
Despesas;€8.65 mi.;2019;865.0
Balanço total;+€1.15 mi.;2019;115.0
Receitas;€29.12 mi.;2020;2912.0
Despesas;€6.05 mi.;2020;605.0
Balanço total;+€23.07 mi.;2020;2307.0
Receitas;€7.60 mi.;2021;760.0
Despesas;€750 mil;2021;0.75
Balanço total;+€6.85 mi.;2021;685.0
Receitas;€24.80 mi.;2022;2480.0
Despesas;€13.14 mi.;2022;1314.0
Balanço total;+€11.67 mi.;2022;1167.0
Receitas;€22.36 mi.;2023;2236.0
Despesas;€14.90 mi.;2023;1490.0
Balanço total;+€7.46 mi.;2023;746.0
Receitas;€23.33 mi.;2024;2333.0
Despesas;€2.42 mi.;2024;242.0
Balanço total;+€20.91 mi.;2024;2091.0
Receitas;€24.00 mi.;2025;2400.0
Despesas;0;2025;0.0
Balanço total;+€24.00 mi.;2025;2400.0
Receitas;0;2026;0.0
Despesas;0;2026;0.0
Balanço total;+-0;2026;0.0
