Unnamed: 0;Entradas/Saídas;Quantia paga;TEMPORADA_REF
Receitas;32;€14.98 mi.;2006
Despesas;37;€4.40 mi.;2006
Balanço total;Balanço total;+€10.58 mi.;2006
Receitas;37;€30.63 mi.;2007
Despesas;33;€2.33 mi.;2007
Balanço total;Balanço total;+€28.30 mi.;2007
Receitas;43;€660 mil;2008
Despesas;45;€1.09 mi.;2008
Balanço total;Balanço total;€-430 mil;2008
Receitas;35;€11.40 mi.;2009
Despesas;35;€3.46 mi.;2009
Balanço total;Balanço total;+€7.94 mi.;2009
Receitas;38;€19.62 mi.;2010
Despesas;32;€8.90 mi.;2010
Balanço total;Balanço total;+€10.72 mi.;2010
Receitas;37;€9.91 mi.;2011
Despesas;36;€13.80 mi.;2011
Balanço total;Balanço total;€-3.89 mi.;2011
Receitas;25;€44.95 mi.;2012
Despesas;28;€12.00 mi.;2012
Balanço total;Balanço total;+€32.95 mi.;2012
Receitas;29;€11.50 mi.;2013
Despesas;29;0;2013
Balanço total;Balanço total;+€11.50 mi.;2013
Receitas;29;€9.80 mi.;2014
Despesas;32;€13.15 mi.;2014
Balanço total;Balanço total;€-3.35 mi.;2014
Receitas;25;€30.14 mi.;2015
Despesas;23;€3.92 mi.;2015
Balanço total;Balanço total;+€26.23 mi.;2015
Receitas;34;€39.59 mi.;2016
Despesas;34;€18.27 mi.;2016
Balanço total;Balanço total;+€21.33 mi.;2016
Receitas;44;€55.27 mi.;2017
Despesas;43;€17.36 mi.;2017
Balanço total;Balanço total;+€37.92 mi.;2017
Receitas;36;€30.00 mi.;2018
Despesas;36;€17.38 mi.;2018
Balanço total;Balanço total;+€12.62 mi.;2018
Receitas;26;€9.80 mi.;2019
Despesas;33;€8.65 mi.;2019
Balanço total;Balanço total;+€1.15 mi.;2019
Receitas;22;€29.12 mi.;2020
Despesas;16;€6.05 mi.;2020
Balanço total;Balanço total;+€23.07 mi.;2020
Receitas;29;€7.60 mi.;2021
Despesas;28;€750 mil;2021
Balanço total;Balanço total;+€6.85 mi.;2021
Receitas;24;€24.80 mi.;2022
Despesas;32;€13.14 mi.;2022
Balanço total;Balanço total;+€11.67 mi.;2022
Receitas;23;€22.36 mi.;2023
Despesas;19;€14.90 mi.;2023
Balanço total;Balanço total;+€7.46 mi.;2023
Receitas;24;€23.33 mi.;2024
Despesas;26;€2.42 mi.;2024
Balanço total;Balanço total;+€20.91 mi.;2024
Receitas;16;€24.00 mi.;2025
Despesas;13;0;2025
Balanço total;Balanço total;+€24.00 mi.;2025
Receitas;3;0;2026
Despesas;2;0;2026
Balanço total;Balanço total;+-0;2026
